Epoch,Train_loss,val_loss
1,0.9814313365243342,0.9214711415013344
2,0.8972599954795564,0.8919980062344759
3,0.8784610530356094,0.8778719359129954
4,0.8691865076112985,0.8716105232371584
5,0.8630994107944252,0.8654315222958943
6,0.8585003668980755,0.8614397780250974
7,0.8547253632327718,0.8589522833776627
8,0.8514035440122194,0.8559773018751633
9,0.8488136104433314,0.8559019972546658
10,0.8460866236822955,0.8503548778620537
11,0.8436677442306364,0.8493587984645558
12,0.8413776184130716,0.8469368830625351
13,0.8390563647792305,0.8453670070936311
14,0.8366037278107811,0.8438813059772103
15,0.8342995482113352,0.8418935418055865
16,0.8317838169896624,0.8391563557739107
17,0.8295565787196941,0.8350770324846277
18,0.8270419956976693,0.8340260933499138
19,0.8246485313409361,0.8342970239100008
20,0.8220344026166092,0.8300491257735229
21,0.8195103863950851,0.8300518297221359
22,0.8168875700300924,0.8255339409114241
23,0.8145481156669363,0.8226396883890016
24,0.8116650824048632,0.8245524449259185
25,0.8093031837266157,0.8211468244997867
26,0.8063055487858212,0.8213674342769954
27,0.803355938515977,0.818661035474268
28,0.8000964874385079,0.814223092453782
29,0.7971969774401159,0.8139111036262172
30,0.7938905461301028,0.8075149555070178
31,0.7900275882299607,0.8041579803561122
32,0.7863504800160135,0.8097725243267734
33,0.7829737808471195,0.7988707004555494
34,0.7795535318894441,0.7964079040347647
35,0.7756290128213017,0.793830248680803
36,0.772332073600838,0.793772098796517
37,0.7699773088325422,0.7862363067187556
38,0.7670247292177644,0.7854936917258031
39,0.76425770659075,0.7827771447274067
40,0.7624038615762775,0.7863024419035414
41,0.76009083803322,0.7826920943343071
42,0.7576039843306904,0.7802483020869165
43,0.7567443269325124,0.7827612152705583
44,0.7549532181711345,0.7762379395988263
45,0.7539393899777377,0.7807421010578863
46,0.7521069677367571,0.7800728782304678
47,0.7505639601175713,0.7710835383773526
48,0.7488453910544266,0.7723011828481828
49,0.7474560825263167,0.7773404830887856
50,0.7466900966731908,0.7755019369762682
51,0.7459495464370803,0.7784742142345928
52,0.7441883918394683,0.7751062452655019
53,0.7426115989883504,0.7692149804972294
54,0.7420191975237208,0.7670245180779174
55,0.7411949652977688,0.7765196834970961
56,0.7397934881634022,0.7671120767727233
57,0.7382649257139138,0.7726250019234958
58,0.7370942536817049,0.7689346793399533
59,0.7355545338788501,0.766020144837523
60,0.7330427494517695,0.7606411002355948
61,0.7295543632915445,0.7663624413416054
62,0.7266399746154858,0.7612909034981525
63,0.7247133826347741,0.7687805954206199
64,0.7234880118336123,0.7562363979965826
65,0.7211933867302387,0.7638553344123312
66,0.7193500545572888,0.755610729380982
67,0.7179998247320409,0.7594954170846651
68,0.7168037846130885,0.7594982060232308
69,0.7152786289924218,0.7634273807340937
70,0.714369219574816,0.7520660649658333
71,0.7122863182071244,0.7530119146664082
72,0.7105820267247971,0.7531780260078661
73,0.7091896090832106,0.7483714280875877
74,0.7071316964895366,0.7520908312312338
75,0.7072910223977341,0.7456527205615193
76,0.7055552111937429,0.7470377300190746
77,0.7032758342963769,0.7514863842888823
78,0.7028301330501843,0.7463895701856844
79,0.7015568350440488,0.7409956519272531
80,0.7000798911519134,0.7409025616860918
81,0.6984447940913419,0.7362344760403996
82,0.6970167469790349,0.7462434768519327
83,0.6963797158092488,0.7347224471137145
84,0.6950407660646193,0.7445112529372494
85,0.6943378904916419,0.741778468407899
86,0.6923403294135283,0.7338140295682744
87,0.6918380388738723,0.7414908648808785
88,0.6908737807369548,0.7419375456245967
89,0.6894186554508575,0.741742413027609
90,0.6882761293899621,0.7332766995804194
91,0.6879402234656001,0.7427723973530047
92,0.6867857406982618,0.7340375209586837
93,0.685430765866402,0.7390994145489177
94,0.6847521393369337,0.7352487676085476
95,0.6841465552722007,0.7427905606632264
96,0.6829434676497079,0.7278579429498633
97,0.6818554454423252,0.7440471345463112
98,0.6812054301531508,0.7430477818817031
99,0.6804322962131389,0.7285946905940536
100,0.6789601854475453,0.738321016457519
101,0.6785579175701203,0.7313681951236033
102,0.6777376719725943,0.7361289656034734
103,0.6768805880563218,0.7270201749309577
104,0.6762859366407251,0.7464870242642497
