hidden layers,hidden nodes,lr,dropout,accuracy,precision,recall,f1,auc
3,20,1e-05,True,0.6912470023980816,0.43023255813953487,0.7185421654695398,0.5382086280761184,0.7003356877289936
4,300,1e-05,True,0.7438049560351718,0.49096197797631413,0.6286246342112264,0.551329911339244,0.7054524575126159
2,100,0.0001,True,0.7006727950972556,0.4397506357148716,0.7130885873902634,0.5440154244253894,0.704806979201219
3,50,1e-05,True,0.7078337330135891,0.4466927393300459,0.6988560787443469,0.5450207468879668,0.7048443727943718
3,400,1e-05,True,0.7477018385291767,0.4969735584581077,0.6225059856344772,0.5527015057573074,0.7060143897780491
3,20,0.0001,True,0.7078337330135891,0.44584556918293317,0.6866187815908487,0.5406367825722665,0.7007696236222261
2,50,1e-05,True,0.6923461231015188,0.4321465224599353,0.7281191806331471,0.5423829576418132,0.7042577596936286
3,400,1e-06,True,0.7130295763389288,0.45214435146443516,0.6899441340782123,0.5462875197472354,0.7053426348876798
4,300,1e-06,True,0.7155941913136158,0.4541370946006648,0.6723862729449321,0.5421202209233739,0.7012069105771492
3,200,0.0001,True,0.7256528110844658,0.4654957289567137,0.6451183825485501,0.540781624574901,0.6988366284021521
2,20,0.0001,True,0.6820876632027711,0.4226867037912884,0.7370311252992817,0.5372569932612595,0.7003826203231501
3,100,1e-05,True,0.7253197442046363,0.4664950822685909,0.6750465549348231,0.5517203891938903,0.7085798845943999
2,50,0.0001,True,0.6914801492139622,0.4313910513485885,0.7297153498270816,0.5422288114652829,0.7042116249713032
3,200,1e-05,True,0.7262856381561418,0.46742974129908804,0.6681298217611067,0.5500438020148928,0.7069210381355074
3,100,0.0001,True,0.7125632827071676,0.4523727942436183,0.7024474594306996,0.5503334722801168,0.7091949373933023
2,20,1e-05,True,0.7008060218491873,0.439377638003807,0.7061718542165469,0.5417070557624611,0.7025927252954235
2,100,1e-05,True,0.7003397282174261,0.4392707563439271,0.7114924181963288,0.5431835491241431,0.7040533272000039
3,50,0.0001,True,0.7089661604050094,0.4472500864752681,0.6879489225857941,0.5420815428152186,0.7019678852687257
