Epoch,Train_loss,val_loss
1,1.036499825855535,1.0292359744953692
2,0.9540257322024291,0.9064204457023783
3,0.9018066506919393,0.8965892292756926
4,0.888506441818308,0.8873709325510772
5,0.8814657362716273,0.8774991663956253
6,0.8748525306538201,0.8705739791233317
7,0.8696756962680738,0.8663455867390585
8,0.8653242419703034,0.86230434479972
9,0.8613784959788435,0.8594250531620146
10,0.857984506421159,0.8554594880064079
11,0.8554091457885199,0.8535225715964304
12,0.8522407595941417,0.8505551675759171
13,0.8497888751440676,0.8503667717115753
14,0.8475264083855951,0.8462301395546371
15,0.8449484494229699,0.8464229876034245
16,0.8429282938946859,0.8421168687892446
17,0.8397724898250426,0.8415670001908865
18,0.8370613591675347,0.8380361746954285
19,0.8347294914092174,0.83722577334251
20,0.8336091465149997,0.836641846981417
21,0.8318523931736148,0.8350223880288852
22,0.8298142244474135,0.8327699896008607
23,0.8269387206984226,0.8318758026591186
24,0.8252731176269309,0.8313811979088871
25,0.8236259992975349,0.8281367094950474
26,0.8213371264471682,0.8260905278434901
27,0.8196039670644532,0.8262573668933236
28,0.8172058833696391,0.823534526124197
29,0.8155143454462659,0.8210010206093236
30,0.812869619331736,0.8192685189526644
31,0.8100535122575837,0.8152523080940055
32,0.8072760998022673,0.8102451071829175
33,0.8028039558569477,0.8076419870280154
34,0.798462321631454,0.8064549808858712
35,0.7962152586492375,0.8003458724762741
36,0.7918315518995732,0.7964557982541454
37,0.7870158304586273,0.7916344480321279
38,0.7851551238150085,0.7915218925140918
39,0.7802661090689056,0.7896138322422246
40,0.7765277889321622,0.7795942200739089
41,0.774013960164756,0.7875417398286031
42,0.7710011462351344,0.7775493095850696
43,0.7690951572646829,0.7766624591688042
44,0.7663334036242692,0.7720949706296399
45,0.7625621458323499,0.7754021059574022
46,0.7608307832664065,0.7657354311129704
47,0.7570799688141777,0.7628873258963471
48,0.7554191391095022,0.7681792229871627
49,0.752623714904718,0.7597142952152092
50,0.7496353958295812,0.7594142863218067
51,0.74787380583747,0.7615532536170534
52,0.7457864708823878,0.7570248126703051
53,0.7431676745142439,0.7555049809577397
54,0.7404283879791365,0.7596485871067613
55,0.7372786122485702,0.7604239316793691
56,0.7356669545930448,0.7443693327007801
57,0.7332569861620752,0.746080707274273
58,0.7308797426863092,0.7410031890548778
59,0.729548891946574,0.7362429029357797
60,0.7273122915771008,0.7389418568677376
61,0.7250487410742642,0.7382472177529942
62,0.7227240394941362,0.7426229886247416
63,0.7216737736102445,0.7537218799082888
64,0.7206951219631897,0.7298598033549781
65,0.7180267682104002,0.734030328908774
66,0.7183610180263716,0.7440395293478586
67,0.7159763599627651,0.7399982250673821
68,0.7139226408882091,0.7291737813716072
69,0.7136874369252972,0.7241293517910351
70,0.7136149850332506,0.7284570633436953
71,0.7106080387213498,0.753417253437631
72,0.7112279494555266,0.7285223828210261
73,0.7091985355460454,0.7254877049090213
74,0.7071967331872757,0.7251652673860007
75,0.7069218570766163,0.7307358311921969
76,0.7074503553645637,0.7364136101018504
77,0.7075725467189662,0.723226148795904
78,0.7052391846817367,0.7437178218629963
